dataset_idx,question_id,n_hops,main_question,gold_final,baseline_final_pred,baseline_final_label,baseline_final_f1,baseline_final_matched_gold,baseline_final_gold_logprob,first_clear_error_hop,n_clear_wrong_hops,final_prompt_tokens
2085,4hop1__342858_131850_33897_81096,4,Who won the Indy Car Race in the largest populated city of the state where Yuma's Library District is located?,Mario Andretti,Johnny Rutherford,incorrect,0.0,Mario Andretti,-6.640759468078613,2.0,3,2469
1402,3hop1__38738_78276_68042,3,"When did the political party that holds the majority in the political body that passed a bill giving regulators discretion to prohibit proprietary trades, gain control of the House?",the 2010 election,2010,needs_review,0.6666666666666666,the 2010 election,-7.963257789611816,1.0,2,4036
2041,4hop2__71753_158279_70784_61381,4,When was the region immediately north of the region where Israel is located and the final destination for the export crops established?,1932,1995,incorrect,0.0,1932,-11.38160228729248,3.0,2,2597
2390,3hop2__67618_30587_44003,3,Where does the ocean adjacent to Miami meet the body of water where the Mississippi River empties into the sea?,through the Florida Straits,Gulf of Mexico,incorrect,0.0,through the Florida Straits,-8.074191093444824,3.0,1,2537
1964,4hop1__31050_725495_49925_349426,4,"Whose spouse wanted to reform the Christian denomination whose religion the general population, of Guam, converted to?",Katharina von Bora,Katharina von Bora,correct,1.0,Katharina von Bora,-1.1920893712158431e-06,1.0,2,3008
1274,3hop2__304722_740784_63959,3,When was the last time Krystian Pearce's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2013,incorrect,0.0,1 December 2010,-9.14305305480957,1.0,3,3719
1321,3hop1__829944_474097_84283,3,Who is the owner of the record label that the performer of Better Than Me is signed with?,Warner Music Group,Warner Bros. Records,needs_review,0.4,Warner Music,-6.558594226837158,3.0,1,1667
2375,3hop1__129675_39743_24526,3,"What is the average daytime temperature in the region where Richmond is found, in the state where WGCK-FM is located?",upper 40s–lower 50s °F,32.6 °F,incorrect,0.28571428571428575,upper 40s–lower 50s °F,-3.310091972351074,2.0,2,4370
1417,3hop2__38326_92991_76291,3,When did the political party of Stewart and Harlan take control of the body that has Standing Rules derived from Article One that do not apply to the House?,January 2015,1882,incorrect,0.0,January 2015,-6.696264266967773,3.0,1,2883
1608,3hop1__857_846_7795,3,"In 2011, what was the estimated population of the city where the Yongle emperor greeted the person to whom the edict was addressed?",8.11 million,8.11 million,correct,1.0,8.11 million,0.0,,0,3243
2188,4hop1__61681_53706_795904_580996,4,What city shares a border with the city where a person went to work during the gold rush in the biggest state in the USA by population?,Rio Linda,Sacramento,incorrect,0.0,Rio Linda,-12.429689407348633,2.0,3,2331
1753,3hop1__64957_87694_64412,3,When did the city that contains the basilica named after the saint who is holding a knife in the last supper become a country?,11 February 1929,11 February 1929,correct,1.0,11 February 1929,-1.4901160305669237e-08,2.0,1,2247
2101,4hop3__152056_698586_1926_54362,4,Who burned down the death city of the artist responsible for Dunn Dunn in the war after which the first time black people declined in living in NYC?,Confederate Gen. John Bell Hood,Dunn Center,incorrect,0.0,Confederate Gen. John Bell Hood,-5.539224624633789,1.0,4,2507
2349,3hop1__145427_106426_157788,3,What is one railway line in the country the produced The Longest Night in the city where You Wenhui was born?,Yamanote Line loop,Shanghai,incorrect,0.0,Yamanote Line loop,-12.769834518432617,2.0,2,2160
1795,3hop1__516535_834494_34099,3,How long are city council terms in the city located in the county that also contains Allen?,four-year,4-year,needs_review,0.5,four-year,-13.593832015991211,2.0,1,2649
2064,4hop1__846600_153080_159767_81096,4,Who won the Indy car race in the largest city and the capital of the state of origin of the performer of A Modern Jazz Symposium of Music and Poetry?,Mario Andretti,Charles Mingus,incorrect,0.0,Mario Andretti,-5.228118896484375,3.0,2,2693
2048,4hop3__373866_5189_38229_86687,4,A group of nations of which the People's Socialist Republic of Albania was a member was controlled by one country. When did that country agree to a unified Germany inside of the organization Eisenhower would not discuss during the campaign?,May 1990,1990,correct,1.0,1990,-4.148437976837158,1.0,3,2588
2000,4hop3__426860_88460_30152_20999,4,How were the same people who the Somali Muslim Ajuran Empire declared independence from expelled from the natural boundary between Thailand and the country where That Dam is found?,The dynasty regrouped and defeated the Portuguese,Somali Muslim Ajuran Empire,incorrect,0.0,The dynasty regrouped and defeated the Portuguese,-4.0456976890563965,1.0,4,2897
1916,4hop1__115977_582428_157828_162309,4,When did the country whose co-official language was used by the director of And Love Has Vanished first attend the Olympics games as an independent team?,2016,1992,incorrect,0.0,2016,-6.351630210876465,2.0,3,3572
2141,4hop1__129682_59747_211319_557671,4,Which county shares a border with the county where the most populous city in the state where WSFN can be found is located?,Presque Isle County,Georgia,incorrect,0.0,Presque Isle County,-8.517800331115723,3.0,2,3053
2311,3hop2__69814_76873_64554,3,"After the war that provides the setting for Memoirs of a Geisha, a conflict in which Germany was divided into two countries, developed between the U.S. and what nation?",Union of Soviet Socialist Republics,United States.,incorrect,0.0,Union of Soviet Socialist Republics,-3.381505250930786,1.0,3,3293
2201,4hop1__58323_375563_161848_83118,4,When does daylight savings end in the country near the country where the author of The Book Thief is from?,the first Sunday in April,October,incorrect,0.0,the first Sunday in April,-10.345870971679688,3.0,2,2912
1880,4hop1__88342_75218_128008_46894,4,Who had the lowest batting average in the league where the team with the most games in the series after which the MLB MVP is awarded played?,Bill Bergen,Bill Bergen,correct,1.0,Bill Bergen,0.0,1.0,3,4891
1429,3hop2__782397_223623_162182,3,In what region of Phu Luong's country is John Phan's birthplace located?,South Central Coast,Central,needs_review,0.5,South Central Coast,-6.687505722045898,3.0,1,1958
2159,4hop3__193820_466199_128875_72134,4,When did the town WLUJ is licensed in become capitol of the state where Brantley York was born?,1839,"Springfield, Illinois",incorrect,0.0,1839,-10.853001594543457,2.0,2,2143
1283,3hop1__380590_831637_91775,3,What does the seal stand for in the operator of the list of destroyer classes of the operator of the USS ZigZag seals?,"Sea, Air, and Land",SP-106,incorrect,0.0,"Sea, Air, and Land",-5.139699459075928,1.0,3,2217
2164,4hop3__322354_466199_695123_72134,4,"When did the city that WIZE is licensed to broadcast to, become the capital of the state, that contains the county where the Battle of Rich Mountain occurred?",1839,1839,correct,1.0,1839,0.0,2.0,2,2132
1204,3hop1__161507_160713_77246,3,What is the meaning of the word that is also a majority religion in the area that became India when the country where Masherbrum is located was created in the Arabic dictionary?,the country of India,Hinduism.,incorrect,0.0,the country of India,-12.257461547851562,1.0,3,3945
2073,4hop1__813171_153080_33897_81096,4,Who won the indy car race in the largest populated city in the state that the performer of Changes Two is from?,Mario Andretti,Jacksonville,incorrect,0.0,Mario Andretti,-6.168019771575928,3.0,2,3666
2011,4hop3__220945_88460_30152_20999,4,How were the same people who the Somali Muslim Ajuran Empire declared independence from expelled from the natural boundary between Thailand and the country where Nam Theun is found?,The dynasty regrouped and defeated the Portuguese,The Ottomans.,incorrect,0.0,The dynasty regrouped and defeated the Portuguese,-4.2628936767578125,2.0,3,2924
2151,4hop1__152146_5274_458768_33677,4,When was the most recent Bicycle Friendly Community Award given to the city where the headquarters of the only group larger than Långa nätter's record label is located?,2013,2013,correct,1.0,2013,0.0,,0,2308
1404,3hop2__72083_92991_76291,3,When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946,incorrect,0.0,January 2015,-5.235451698303223,3.0,1,2856
1611,3hop1__409517_547811_80702,3,What is the name of the famous bridge in the birth city of the composer of Scanderbeg?,Rialto Bridge,Mandolin,incorrect,0.0,Rialto Bridge,-6.672360420227051,2.0,2,2486
2045,4hop2__71753_158985_70784_61381,4,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,1932,1955,incorrect,0.0,1932,-8.2421875,2.0,3,2493
1904,4hop1__436202_765799_282674_759393,4,What is the seat of the county sharing a border with the county in which J. P. Hayes was born?,Green Bay,Appleton,incorrect,0.0,Green Bay,-11.2514066696167,2.0,3,2263
2407,3hop2__79512_16214_84681,3,"When did the people who first imported slaves to New York, come to the country where Lord of the Rings was filmed?",13 December 1642,13 December 1642,correct,1.0,13 December 1642,-2.2351730422087712e-07,,0,3085
1861,4hop2__567956_14670_8987_8529,4,"Normalization occurred in Country A that invaded Country B because the military branch that Air Defense Artillery is part of was unprepared. when was the word ""Slavs"" used in the national anthem of Country B?",1943–1992,1939,incorrect,0.0,1943–1992,-5.514930248260498,1.0,3,2846
1696,3hop1__527372_339990_54675,3,"What mountains can you see from Portland, in the state with the county that contains Fester Hollow?",Tualatin Mountains,Mt. Tabor,incorrect,0.0,Tualatin Mountains,-9.654772758483887,2.0,2,2668
