dataset_idx,question_id,n_hops,branch_a_hop,branch_b_hop,merge_hop,branch_a_closure,branch_b_closure,branch_role,hop,question,answer,gold,label,mean_logprob,min_logprob,entropy,margin,independent_verbal_confidence,joint_verbal_confidence,joint_minus_independent,tot_style_evaluation,tot_style_evaluation_100
2041,4hop2__71753_158279_70784_61381,4,1,2,3,1,2,A,1,what region of the world is israel located,Middle East,"Middle East,",correct,-0.02153008795266942,-0.04304181784391403,0.10616796862450428,7.765625,40.0,100.0,60.0,1.0,100.0
2041,4hop2__71753_158279_70784_61381,4,1,2,3,1,2,B,2,Where was the final destination for the export crops ?,Persian Gulf.,Persian Gulf,correct,-0.14744834601874857,-0.43971511721611023,0.28486414458939535,9.34375,40.0,100.0,60.0,1.0,100.0
2390,3hop2__67618_30587_44003,3,2,1,3,2,1,A,2,What ocean is Miami adjacent to?,Atlantic Ocean,Atlantic,correct,-0.04317078727763146,-0.08631999790668488,0.14280162432987709,6.59375,70.0,100.0,30.0,1.0,100.0
2390,3hop2__67618_30587_44003,3,2,1,3,2,1,B,1,where does the mississippi river empty into the ocean,The Mississippi River empties into the Gulf of Mexico.,the Gulf of Mexico,correct,-0.02620895336138512,-0.19931040704250336,0.07796256899451014,15.25,45.0,100.0,55.0,1.0,100.0
1274,3hop2__304722_740784_63959,3,2,1,3,2,1,A,2,Krystian Pearce >> member of sports team,Pearce,Birmingham City,incorrect,-0.03548479075834621,-0.07095634937286377,0.1341199100133963,7.0,40.0,100.0,60.0,0.9,90.0
1274,3hop2__304722_740784_63959,3,2,1,3,2,1,B,1,1894–95 FA Cup >> winner,Everton,Aston Villa,incorrect,-0.21341902017590542,-0.426837682723999,0.44650308516929726,8.125,40.0,100.0,60.0,0.9,90.0
1417,3hop2__38326_92991_76291,3,1,2,3,1,2,A,1,What were Harlan and Stewart's party affiliations?,Conservative Republicans.,Republicans,correct,-0.13590212690007775,-0.3892100751399994,0.2680458548466049,5.2265625,40.0,100.0,60.0,0.9,90.0
1417,3hop2__38326_92991_76291,3,1,2,3,1,2,B,2,who determines the rules of the us house and us senate,The Standing Rules of the United States Senate are the parliamentary procedures adopted by the United,The Senate,correct,-0.04242012696256481,-0.5310743451118469,0.09759466320788203,14.9765625,40.0,100.0,60.0,1.0,100.0
2311,3hop2__69814_76873_64554,3,2,1,3,2,1,A,2,when does memoirs of a geisha take place,1997,before and after World War II,incorrect,-0.1441595107272633,-0.5766320824623108,0.3306831460973505,13.40625,50.0,100.0,50.0,0.9,90.0
2311,3hop2__69814_76873_64554,3,2,1,3,2,1,B,1,why was germany divided into two separate countries after wwii,The German government was divided into two separate countries after World War II due to the,The Cold War,incorrect,-0.0976242371037852,-0.671298086643219,0.21917558064762444,9.115234375,50.0,100.0,50.0,0.8,80.0
