dataset_idx,question_id,n_hops,repair_hop_idx,repair_hop,repair_question,hop_gold,hop_pred,mean_logprob,min_logprob,entropy,margin,n_descendants_regenerated,descendants_regenerated,baseline_final_pred,baseline_final_label,baseline_final_gold_logprob,repaired_final_gold_logprob,repair_gain,propagated_gain,repaired_final_pred,repaired_final_label,repaired_final_f1,frozen_final_gold_logprob,frozen_gain
1204,3hop1__161507_160713_77246,3,0,1,What country is this landmark in?,Pakistan,India,-0.02123139798641205,-0.02123139798641205,0.10227926075458527,3.84375,2,"[2, 3]",Hindu,incorrect,-14.616758346557617,-13.26107406616211,1.3556842803955078,1.3556842803955078,Hindu,incorrect,0.0,-13.708137512207031,0.9086208343505859
1211,3hop1__498954_160713_77246,3,1,2,What was the majority religion in the area of British India that become India when Pakistan was created?,Hindu,Hindus,-0.03874853497950426,-0.11622986942529678,0.11548782605132146,9.572916666666666,1,[3],Hindu,incorrect,-13.854179382324219,-13.461761474609375,0.39241790771484375,0.39241790771484375,Hindu,incorrect,0.0,-13.461761474609375,0.39241790771484375
1268,3hop2__304722_602987_63959,3,0,1,1894–95 FA Cup >> winner,Aston Villa,Birmingham City,-0.006150419276915879,-0.017889341339468956,0.03581171122399004,8.411458333333334,1,[3],27 May 1963,incorrect,-5.3732147216796875,-11.07819938659668,-5.704984664916992,-5.704984664916992,2015,incorrect,0.0,-6.941561222076416,-1.5683465003967285
1274,3hop2__304722_740784_63959,3,0,1,1894–95 FA Cup >> winner,Aston Villa,Everton,-0.21341902017590542,-0.426837682723999,0.44650308516929726,8.125,1,[3],27 March 1963,incorrect,-8.000493049621582,-8.653618812561035,-0.6531257629394531,-0.6531257629394531,2015,incorrect,0.0,-7.76450777053833,0.23598527908325195
1274,3hop2__304722_740784_63959,3,1,2,Krystian Pearce >> member of sports team,Birmingham City,Pearce,-0.03548479075834621,-0.07095634937286377,0.1341199100133963,7.0,1,[3],27 March 1963,incorrect,-8.000493049621582,-4.283607006072998,3.716886043548584,3.716886043548584,21 May 2005,incorrect,0.0,-7.5532307624816895,0.4472622871398926
1283,3hop1__380590_831637_91775,3,0,1,USS Zigzag >> operator,United States Navy,USS Zigzag (SP-106) was an armed motorboat,-0.07477333283078158,-0.6264393329620361,0.10619317836953084,16.830078125,2,"[2, 3]",United States Navy SEALs,incorrect,-2.769087076187134,-3.9620659351348877,-1.192978858947754,-1.192978858947754,Seal,incorrect,0.0,-2.7960031032562256,-0.026916027069091797
1283,3hop1__380590_831637_91775,3,1,2,list of destroyer classes of United States Navy >> operator,U.S. Navy,Clemson-class,-0.02435222069948395,-0.053439583629369736,0.10826378654564905,7.22265625,1,[3],United States Navy SEALs,incorrect,-2.769087076187134,-2.711803436279297,0.057283639907836914,0.057283639907836914,United States Navy SEALs,incorrect,0.0,-2.711803436279297,0.057283639907836914
1696,3hop1__527372_339990_54675,3,1,2,Columbia County >> located in the administrative territorial entity,Oregon,Columbia County,-0.000404907273794682,-0.001213052892126143,0.0031439924813033335,11.677083333333334,1,[3],Mt. Hood,incorrect,-6.82817268371582,-6.727316856384277,0.10085582733154297,0.10085582733154297,Mt. Hood,incorrect,0.0,-6.727316856384277,0.10085582733154297
1737,3hop1__241085_42197_18397,3,0,1,Yekaterina Fesenko >> country of citizenship,USSR,Russia,-0.6040193438529968,-0.6040193438529968,0.6910325288772583,0.1875,2,"[2, 3]",China,incorrect,-9.703398704528809,-9.316363334655762,0.3870353698730469,0.3870353698730469,China,incorrect,0.0,-9.316363334655762,0.3870353698730469
1783,3hop1__516535_834494_34053,3,1,2,Pima County >> contains administrative territorial entity,Tucson,Pima County,-0.0003916924609536447,-0.0011692361440509558,0.0031161451361185755,11.833333333333334,1,[3],24.17 in (614 mm),incorrect,-3.929687738418579,-4.570312976837158,-0.6406252384185791,-0.6406252384185791,24.17 in (614 mm),incorrect,0.0,-4.570312976837158,-0.6406252384185791
