dataset_idx,question_id,n_hops,branch_a_hop,branch_b_hop,merge_hop,branch_a_closure,branch_b_closure,branch_a_question,branch_a_answer,branch_a_label,branch_a_independent_confidence,branch_b_question,branch_b_answer,branch_b_label,branch_b_independent_confidence,merge_question,merge_answer,merge_label,merge_independent_confidence,joint_A,joint_B,joint_M,joint_raw,tot_A,tot_B,tot_M,tot_raw
2041,4hop2__71753_158279_70784_61381,4,1,2,3,1,2,what region of the world is israel located,Middle East,correct,40.0,Where was the final destination for the export crops ?,Persian Gulf.,correct,40.0,what region lies immediately to the north of Middle East and Persian Gulf.,Arabia Terra,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,1.0,1.0,1.0,A=1.0; B=1.0; M=1.0
2390,3hop2__67618_30587_44003,3,2,1,3,2,1,What ocean is Miami adjacent to?,Atlantic Ocean,correct,70.0,where does the mississippi river empty into the ocean,The Mississippi River empties into the Gulf of Mexico.,correct,45.0,where does the Atlantic Ocean meet The Mississippi River empties into the Gulf of Mexico.,The Mississippi River empties into the Gulf of Mexico.,incorrect,50.0,100.0,100.0,100.0,A=100; B=100; M=100,1.0,1.0,1.0,A=1.0; B=1.0; M=1.0
1274,3hop2__304722_740784_63959,3,2,1,3,2,1,Krystian Pearce >> member of sports team,Pearce,incorrect,40.0,1894–95 FA Cup >> winner,Everton,incorrect,40.0,when was the last time Pearce beat Everton,2013,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,0.9,0.9,0.8,A=0.9; B=0.9; M=0.8
1417,3hop2__38326_92991_76291,3,1,2,3,1,2,What were Harlan and Stewart's party affiliations?,Conservative Republicans.,correct,40.0,who determines the rules of the us house and us senate,The Standing Rules of the United States Senate are the parliamentary procedures adopted by the United,correct,40.0,when did Conservative Republicans. take control of the The Standing Rules of the United States Senate are the parliamentary procedures adopted by the United,1882,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,0.9,1.0,0.8,A=0.9; B=1.0; M=0.8
2311,3hop2__69814_76873_64554,3,2,1,3,2,1,when does memoirs of a geisha take place,1997,incorrect,50.0,why was germany divided into two separate countries after wwii,The German government was divided into two separate countries after World War II due to the,incorrect,50.0,following 1997 The German government was divided into two separate countries after World War II due to the developed between the u.s. and,US and Cold War.,incorrect,50.0,100.0,100.0,100.0,A=100; B=100; M=100,0.9,0.8,0.7,"A=0.9; B=0.8; M=0.7

**Explanation"
1429,3hop2__782397_223623_162182,3,1,2,3,1,2,Phu Luong >> country,Vietnam,correct,50.0,John Phan >> place of birth,"Da Nang, Vietnam",correct,50.0,"In what region of Vietnam is Da Nang, Vietnam located?",Da Nang is located in the Central region of Vietnam.,incorrect,50.0,100.0,100.0,100.0,A=100; B=100; M=100,,,,A=<1.0>; B=<1.0>; M=<1.0>
2159,4hop3__193820_466199_128875_72134,4,3,2,4,3,"1,2",What town is WLUJ liscensed in?,"Springfield, Illinois",correct,70.0,"Richard Brantley York was born in Randolph County, North Carolina. >> located in the administrative territorial entity","Randolph County, North Carolina",incorrect,45.0,"when did Springfield, Illinois become the capital of Randolph County, North Carolina",1834,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,,,,A=<0.8>; B=<0.9>; M=<0.7>
2164,4hop3__322354_466199_695123_72134,4,3,2,4,3,"1,2",WIZE >> licensed to broadcast to,1340 AM,incorrect,45.0,"Randolph County, Virginia >> located in the administrative territorial entity","Randolph County, Virginia",incorrect,40.0,"when did 1340 AM become the capital of Randolph County, Virginia",1839,correct,40.0,100.0,100.0,0.0,A=100; B=100; M=0,0.1,1.0,0.5,A=0.1; B=1.0; M=0.5
2011,4hop3__220945_88460_30152_20999,4,3,2,4,3,"1,2",New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,Ottomans.,incorrect,40.0,what natural boundary lies between thailand and Laos,The Bay of Bengal.,incorrect,40.0,How were the Ottomans. expelled from The Bay of Bengal. ?,The Ottomans were expelled from The Bay of Bengal by the Portuguese.,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,,,,A=<0.8; B=<0.7; M=<0.6>
1404,3hop2__72083_92991_76291,3,1,2,3,1,2,who gained control of congress in the midterm elections in 1946,Republicans,correct,40.0,who determines the rules of the us house and us senate,The Standing Rules of the United States Senate are the parliamentary procedures adopted by the United,correct,40.0,when did Republicans take control of the The Standing Rules of the United States Senate are the parliamentary procedures adopted by the United,18. 2014,incorrect,40.0,100.0,100.0,100.0,A=100; B=100; M=100,1.0,1.0,1.0,A=1.0; B=1.0; M=1.0
