dataset_idx,question_id,n_hops,repair_hop_idx,repair_hop,candidate_referenced_parents_benchmark_correct,candidate_question_matches_gold_path,repair_question_original,hop_gold,hop_pred,question_matches_gold_path,referenced_parents_benchmark_correct,n_descendants_regenerated,descendants_regenerated,mean_logprob,min_logprob,entropy,margin,verbal_confidence,u_mean_logprob,u_mean_logprob_z,u_min_logprob,u_min_logprob_z,u_entropy,u_entropy_z,u_margin,u_margin_z,u_verbal,u_verbal_z,baseline_final_pred,baseline_final_label,baseline_final_gold_logprob,repaired_final_gold_logprob,repair_gain,repaired_final_pred,repaired_final_label,repaired_final_f1
2085,4hop1__342858_131850_33897_81096,4,1,2,True,False,"Which state is Yuma County, Arizona Library District located?",Arizona,Yuma County,False,True,2,"3,4",-0.008630966049774239,-0.025501372292637825,0.04038214201113988,9.9375,60.0,0.008630966049774239,-0.6221302774067544,0.025501372292637825,-0.6008716496359128,0.04038214201113988,-0.5731619362349296,-9.9375,0.10040116826044167,-60.0,-1.7320508075688772,Johnny Rutherford,incorrect,-6.640759468078613,-5.980617046356201,0.6601424217224121,Johnny Rutherford,incorrect,0.0
2041,4hop2__71753_158279_70784_61381,4,2,3,True,True,what region lies immediately to the north of Middle East and Persian Gulf.,Kingdom of Saudi Arabia,Arabia Terra,True,True,1,4,-0.22142807748878113,-0.8854377865791321,0.2740994570267503,7.27734375,40.0,0.22142807748878113,1.3606030587162936,0.8854377865791321,1.519996744188567,0.2740994570267503,0.9036350030991331,-7.27734375,0.7784604727034793,-40.0,0.0,1995,incorrect,-11.38160228729248,0.0,11.38160228729248,1932,correct,1.0
1274,3hop2__304722_740784_63959,3,0,1,True,True,1894–95 FA Cup >> winner,Aston Villa,Everton,True,True,1,3,-0.21341902017590542,-0.426837682723999,0.44650308516929726,8.125,40.0,0.21341902017590542,1.2091053080151937,0.426837682723999,0.4761105118626395,0.44650308516929726,1.406519429187226,-8.125,0.25626988838287035,-40.0,0.0,2013,incorrect,-9.14305305480957,-8.653618812561035,0.48943424224853516,2015,incorrect,0.0
1274,3hop2__304722_740784_63959,3,1,2,True,True,Krystian Pearce >> member of sports team,Birmingham City,Pearce,True,True,1,3,-0.03548479075834621,-0.07095634937286377,0.1341199100133963,7.0,40.0,0.03548479075834621,-1.2398071428521171,0.07095634937286377,-1.3913067832966304,0.1341199100133963,-0.8308423211241649,-7.0,1.0763335312080555,-40.0,0.0,2013,incorrect,-9.14305305480957,-4.283607006072998,4.859446048736572,21 May 2005,incorrect,0.0
2375,3hop1__129675_39743_24526,3,1,2,True,False,"In which of Coeburn, Virginia. 's regions is Richmond?",Piedmont,"Coeburn, Virginia.",False,True,1,3,-0.012670913303621726,-0.03846696764230728,0.054890591660277245,10.072916666666666,40.0,0.012670913303621726,-1.405325756125286,0.03846696764230728,-1.2764722035341207,0.054890591660277245,-1.4089585248829057,-10.072916666666666,-0.5134549754467872,-40.0,0.0,32.6 °F,incorrect,-3.310091972351074,-2.4471213817596436,0.8629705905914307,30–50 °F,incorrect,0.25
2188,4hop1__61681_53706_795904_580996,4,1,2,True,True,someone who went to California during the gold rush,Samuel Brannan,California,True,True,2,"3,4",-0.00010740180005086586,-0.00010740180005086586,0.0011208323994651437,9.21875,50.0,0.00010740180005086586,-0.9897250820599772,0.00010740180005086586,-0.9623000909658621,0.0011208323994651437,-0.9783713185047488,-9.21875,0.5468720048345088,-50.0,-0.9045340337332908,Sacramento,incorrect,-12.429689407348633,-12.27353286743164,0.1561565399169922,"Sacramento, California",incorrect,0.0
2101,4hop3__152056_698586_1926_54362,4,0,1,True,True,What label was responsible for Dunn Dunn?,Shawty Lo,Arista Nashville,True,True,2,"2,4",-3.6803424533715656e-05,-0.00013958432828076184,0.0004297416450071978,13.4765625,40.0,3.6803424533715656e-05,-0.8025113083277227,0.00013958432828076184,-0.8738514321817115,0.0004297416450071978,-0.8843010582334927,-13.4765625,-0.6326654973493291,-40.0,-1.0,Dunn Center,incorrect,-5.539224624633789,-6.069192886352539,-0.52996826171875,Dunn Center,incorrect,0.0
2101,4hop3__152056_698586_1926_54362,4,2,3,True,True,Since what event did the first time black people decline in living in NYC?,the Civil War,2000,True,True,1,4,-0.04501131921869472,-0.18004170060157776,0.11246034949223638,13.65625,40.0,0.04501131921869472,-0.1488139841073102,0.18004170060157776,0.01931017586841613,0.11246034949223638,-0.08402843593530632,-13.65625,-0.6847662514201674,-40.0,-1.0,Dunn Center,incorrect,-5.539224624633789,-4.660488128662109,0.8787364959716797,Arista Nashville,incorrect,0.0
2349,3hop1__145427_106426_157788,3,1,2,True,True,Which was the country for The Longest Night in Shanghai ?,Japan,China,True,True,1,3,-0.016897283494472504,-0.016897283494472504,0.08690297603607178,4.09375,70.0,0.016897283494472504,-0.5201676548024028,0.016897283494472504,-0.6729246306487934,0.08690297603607178,0.22132948374141273,-4.09375,1.252723321278202,-70.0,0.0,Shanghai,incorrect,-12.769834518432617,-10.845458030700684,1.9243764877319336,Shanghai,incorrect,0.0
2064,4hop1__846600_153080_159767_81096,4,2,3,True,False,"what city is both the largest city and the state capital of Nogales, Arizona ?",Phoenix,Nogales,False,True,1,4,-4.013356942778046e-06,-1.156323378381785e-05,5.1884176851609474e-05,16.833333333333332,50.0,4.013356942778046e-06,-0.8295088651723606,1.156323378381785e-05,-0.9400218223525313,5.1884176851609474e-05,-0.7900211736153708,-16.833333333333332,-0.7703729747555155,-50.0,-1.0,Charles Mingus,incorrect,-5.228118896484375,-1.4901159772762185e-07,5.228118747472777,Mario Andretti,correct,1.0
2000,4hop3__426860_88460_30152_20999,4,0,1,True,True,That Dam >> country,Laos,Thailand,True,True,2,"2,4",-4.8754245597137924e-05,-9.703165414975956e-05,0.0005557224908443459,12.171875,45.0,4.8754245597137924e-05,-1.324958294473442,9.703165414975956e-05,-1.0350321395852375,0.0005557224908443459,-1.4417654665498307,-12.171875,-0.35811052503784496,-45.0,-0.662266178532522,Somali Muslim Ajuran Empire,incorrect,-4.0456976890563965,-6.421206474304199,-2.3755087852478027,Somali Muslim Ajuran Empire,incorrect,0.0
2000,4hop3__426860_88460_30152_20999,4,2,3,True,True,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,the Portuguese,Somali Muslim Ajuran Empire,True,True,1,4,-0.028709368543303526,-0.17214475572109222,0.11541433279642395,11.377604166666666,45.0,0.028709368543303526,-0.6086676401372846,0.17214475572109222,-0.4240506332384577,0.11541433279642395,-0.14067671983070104,-11.377604166666666,0.08250753814219791,-45.0,-0.662266178532522,Somali Muslim Ajuran Empire,incorrect,-4.0456976890563965,-4.641951560974121,-0.5962538719177246,Portugal,incorrect,0.0
1916,4hop1__115977_582428_157828_162309,4,1,2,True,True,"Aleksandar Petrović >> languages spoken, written or signed",Serbian,"Malagasy, French, Hebrew, Arabic, Russian, English, Coptic",True,True,2,"3,4",-0.12136001777204752,-0.737238347530365,0.26219729634597816,10.775390625,45.0,0.12136001777204752,1.6945596504064737,0.737238347530365,1.7131789630564185,0.26219729634597816,1.6212371942291568,-10.775390625,1.0793931637767138,-45.0,-1.0,1992,incorrect,-6.351630210876465,-4.898739337921143,1.4528908729553223,1992,incorrect,0.0
2141,4hop1__129682_59747_211319_557671,4,2,3,True,True,Atlanta >> located in the administrative territorial entity,Montmorency County,Atlanta,True,True,1,4,-0.004083866253495216,-0.004083866253495216,0.026543188840150833,5.5,40.0,0.004083866253495216,-0.538917771529494,0.004083866253495216,-0.538917771529494,0.026543188840150833,-0.4884536650031166,-5.5,0.47138787720810804,-40.0,0.5773502691896257,Georgia,incorrect,-8.517800331115723,-8.986479759216309,-0.46867942810058594,Montmorency County,needs_review,0.4
2311,3hop2__69814_76873_64554,3,0,1,True,True,why was germany divided into two separate countries after wwii,The Cold War,The German government was divided into two separate countries after World War II due to the,True,True,1,3,-0.0976242371037852,-0.671298086643219,0.21917558064762444,9.115234375,50.0,0.0976242371037852,-0.5228967336901378,0.671298086643219,0.9568507222286329,0.21917558064762444,-1.173982600949486,-9.115234375,0.1446894168889811,-50.0,0.0,United States.,incorrect,-3.381505250930786,-4.091686725616455,-0.710181474685669,Soviet Union.,correct,1.0
2311,3hop2__69814_76873_64554,3,1,2,True,True,when does memoirs of a geisha take place,before and after World War II,1997,True,True,1,3,-0.1441595107272633,-0.5766320824623108,0.3306831460973505,13.40625,50.0,0.1441595107272633,1.399400147204034,0.5766320824623108,0.4234213672868616,0.3306831460973505,1.2698702352068885,-13.40625,-1.2906627003826567,-50.0,0.0,United States.,incorrect,-3.381505250930786,-3.336510419845581,0.04499483108520508,United States and Cold War.,incorrect,0.0
2201,4hop1__58323_375563_161848_83118,4,2,3,True,True,What country located near Australia was a first time participant in these games?,New Zealand,Albania,True,True,1,4,-0.10610051561765961,-0.3133774697780609,0.20498368065924902,7.098958333333333,40.0,0.10610051561765961,-0.4011629296418616,0.3133774697780609,-0.021198175172102623,0.20498368065924902,-0.3611051920295393,-7.098958333333333,0.18944128881104774,-40.0,0.5773502691896257,October,incorrect,-10.345870971679688,-0.00012158040044596419,10.345749391279242,the first Sunday in April,correct,1.0
2159,4hop3__193820_466199_128875_72134,4,1,2,True,False,"Richard Brantley York was born in Randolph County, North Carolina. >> located in the administrative territorial entity",Illinois,"Randolph County, North Carolina",False,True,1,4,-0.0006202477535062201,-0.0037133803125470877,0.0041841738370728505,14.630208333333334,45.0,0.0006202477535062201,-0.7642479599724257,0.0037133803125470877,-0.8511352252204193,0.0041841738370728505,-0.7821245717744902,-14.630208333333334,0.1694179845732816,-45.0,0.30151134457776363,"Springfield, Illinois",incorrect,-10.853001594543457,-0.03566952049732208,10.817332074046135,1839,correct,1.0
1283,3hop1__380590_831637_91775,3,0,1,True,True,USS Zigzag >> operator,United States Navy,USS Zigzag (SP-106) was an armed motorboat,True,True,2,"2,3",-0.07477333283078158,-0.6264393329620361,0.10619317836953084,16.830078125,40.0,0.07477333283078158,1.3906815435272952,0.6264393329620361,1.4064292543493635,0.10619317836953084,1.2512564497245657,-16.830078125,1.4054002952881617,-40.0,1.4142135623730945,SP-106,incorrect,-5.139699459075928,-3.9620659351348877,1.17763352394104,Seal,incorrect,0.0
1204,3hop1__161507_160713_77246,3,0,1,True,True,What country is this landmark in?,Pakistan,India,True,True,2,"2,3",-0.02123139798641205,-0.02123139798641205,0.10227926075458527,3.84375,45.0,0.02123139798641205,-1.1129683272276503,0.02123139798641205,-1.2513543521604977,0.10227926075458527,-0.7706705961493128,-3.84375,1.0926227668170847,-45.0,-0.7071067811865466,Hinduism.,incorrect,-12.257461547851562,-13.26107406616211,-1.0036125183105469,Hindu,incorrect,0.0
2073,4hop1__813171_153080_33897_81096,4,2,3,True,False,"What is the largest populated city in Nogales, Arizona. ?",Phoenix,Jacksonville,False,True,1,4,-0.08856213837853488,-0.17712368071079254,0.22900180386477587,8.15625,40.0,0.08856213837853488,-0.029954325632323097,0.17712368071079254,-0.36232895461263526,0.22900180386477587,0.20111246297009908,-8.15625,0.6340094235035875,-40.0,1.414213562373095,Jacksonville,incorrect,-6.168019771575928,-0.2634499967098236,5.904569774866104,Phoenix,incorrect,0.0
2011,4hop3__220945_88460_30152_20999,4,1,2,True,True,what natural boundary lies between thailand and Laos,Myanmar,The Bay of Bengal.,True,True,1,4,-0.0738163545727275,-0.15408533811569214,0.2542187644861805,8.740625,40.0,0.0738163545727275,-0.7644403386229873,0.15408533811569214,-1.4669442481692534,0.2542187644861805,0.3175456171181386,-8.740625,0.017810234277462252,-40.0,0.5773502691896257,The Ottomans.,incorrect,-4.2628936767578125,-5.729979991912842,-1.4670863151550293,Ottomans.,incorrect,0.0
2011,4hop3__220945_88460_30152_20999,4,2,3,True,True,New coins were a proclamation of independence by the Somali Muslim Ajuran Empire from whom?,the Portuguese,Ottomans.,True,True,1,4,-0.1744173633711398,-0.6326202154159546,0.2434651445256037,8.58125,40.0,0.1744173633711398,0.8921059310386543,0.6326202154159546,0.928007272251945,0.2434651445256037,0.19281069905887582,-8.58125,0.0754814690806734,-40.0,0.5773502691896257,The Ottomans.,incorrect,-4.2628936767578125,-4.150303363800049,0.11259031295776367,The Portuguese were expelled from The Bay of Bengal by the Somali Muslim Ajuran Empire,incorrect,0.11764705882352941
1611,3hop1__409517_547811_80702,3,1,2,True,True,Antonio Vivaldi >> place of birth,Venice,Paris,True,True,1,3,-0.07238125056028366,-0.07238125056028366,0.2863403856754303,2.78125,40.0,0.07238125056028366,1.2744322585548913,0.07238125056028366,0.41728127525621256,0.2863403856754303,1.2465054563199323,-2.78125,1.1830729432357474,-40.0,0.0,Mandolin,incorrect,-6.672360420227051,-4.142493708059192e-06,6.672356277733343,Rialto Bridge,correct,1.0
2045,4hop2__71753_158985_70784_61381,4,1,2,True,True,Where is the most growth taking place in desalination for agricultural use?,Persian Gulf,Singapore,True,True,2,"3,4",-0.532805323600769,-0.532805323600769,0.8846407532691956,0.5,40.0,0.532805323600769,1.692838881186846,0.532805323600769,0.7397955300140636,0.8846407532691956,1.712347700853373,-0.5,1.4861492301811177,-40.0,0.0,1955,incorrect,-8.2421875,-8.234375,0.0078125,1955,incorrect,0.0
1904,4hop1__436202_765799_282674_759393,4,1,2,True,False,"Appleton, Wisconsin >> capital of",Outagamie County,Appleton,False,True,2,"3,4",-0.025822402909383868,-0.051644567400217056,0.09976933330608517,9.28125,50.0,0.025822402909383868,0.0277666393775079,0.051644567400217056,0.0069630042548066975,0.09976933330608517,-0.12478665273591479,-9.28125,-0.11780210734535013,-50.0,0.0,Appleton,incorrect,-11.2514066696167,-16.304689407348633,-5.053282737731934,Outagamie County,incorrect,0.0
1861,4hop2__567956_14670_8987_8529,4,0,1,True,True,Normalization >> country,Czechoslovakia,Slovakia,True,True,2,"3,4",-0.08965385817767431,-0.26509085297584534,0.318082632496953,5.078125,40.0,0.08965385817767431,1.3938540830033916,0.26509085297584534,0.21266275118064593,0.318082632496953,1.6047398366651326,-5.078125,1.7061456823995755,-40.0,0.816496580927726,1939,incorrect,-5.514930248260498,-5.001082897186279,0.5138473510742188,1939,incorrect,0.0
1696,3hop1__527372_339990_54675,3,1,2,True,False,"Columbia County, Pennsylvania. >> located in the administrative territorial entity",Oregon,"Columbia County, Pennsylvania.",False,True,1,3,-0.004144779561707186,-0.012180587276816368,0.024659200959069,9.361979166666666,50.0,0.004144779561707186,-1.0711209019124959,0.012180587276816368,-1.3415009913714988,0.024659200959069,-1.1012528430901745,-9.361979166666666,0.49582673467731603,-50.0,-1.4142135623730945,Mt. Tabor,incorrect,-9.654772758483887,-6.063567161560059,3.591205596923828,Mt. Hood,incorrect,0.0
1211,3hop1__498954_160713_77246,3,1,2,True,True,What was the majority religion in the area of British India that become India when Pakistan was created?,Hindu,Hindus,True,True,1,3,-0.03874853497950426,-0.11622986942529678,0.11548782605132146,9.572916666666666,45.0,0.03874853497950426,1.4141701238610356,0.11622986942529678,1.414168727375544,0.11548782605132146,1.413842158514394,-9.572916666666666,1.4087439204555705,-45.0,-1.4142135623730963,Hindu,incorrect,-13.882108688354492,-13.461761474609375,0.4203472137451172,Hindu,incorrect,0.0
2061,4hop1__342858_131850_33952_34053,4,2,3,True,True,What is the second largest city in Arizona ?,Tucson,Yuma,True,True,1,4,-0.00027648909599520266,-0.0005529781919904053,0.002349990530603918,13.203125,40.0,0.00027648909599520266,-0.5744059215324574,0.0005529781919904053,-0.5775104169508523,0.002349990530603918,-0.5570928331582612,-13.203125,0.5486136022565012,-40.0,0.816496580927726,24.17 in (614 mm),incorrect,-3.953125238418579,-4.4140625,-0.4609372615814209,24.17 in,incorrect,0.0
2015,4hop3__405277_88460_30152_20999,4,1,2,True,True,what natural boundary lies between thailand and Laos,Myanmar,Radcliffe Line,True,True,1,4,-0.005047279097650422,-0.015138261020183563,0.026180400660374897,11.192708333333334,40.0,0.005047279097650422,-0.8301710090078125,0.015138261020183563,-0.9432710958189945,0.026180400660374897,-0.845365684590188,-11.192708333333334,-1.1838230449935025,-40.0,0.5773502691896257,Ottoman,incorrect,-4.5084638595581055,-5.606382369995117,-1.0979185104370117,Myanmar,incorrect,0.0
